user,event
3044012,2529072432
4236494,152418051
4236494,4203627753
4236494,799782433
5574997,941853303
7547671,1228445722
10329108,40254649
13301498,3950787980
13301498,3499428374
13301498,907302600
13301498,457253413
14411090,753115138
14411090,1073827062
15469418,3234409400
16210231,821546192
16210231,2325542576
16210231,4197279783
19283444,3789409122
20041353,813808366
22840021,2768891421
23150045,735593165
23170479,2776357538
23170479,1390707377
23170479,2529072432
23170479,2142755647
23170479,813650546
23170479,1532377761
23170479,861118590
23170479,3632072502
23170479,1044854627
23170479,955398943
23170479,1600413013
24978365,2624370380
26389537,1600413013
26389537,955398943
26389537,1532377761
26389537,1044854627
28806872,915403718
29002074,965748273
33930603,156494494
33966018,2608593001
35629376,2828969498
38974975,2529072432
38974975,955398943
38974975,1600413013
38985694,3028393247
38985694,297891426
41934198,2367196896
43026617,4203627753
45139176,1488068589
45148230,3459643094
47659843,1269035551
48380986,3331390995
50457238,910169576
50457238,1816813281
51165908,955398943
51165908,602394192
51165908,1600413013
51165908,1294433853
57075229,2717795664
57075229,1820037082
61814256,3731945988
65801702,3781958177
65801702,3127693636
65801702,4135207140
65801702,3751969407
65801702,2057068023
66260844,2237079226
66260844,2980258101
67249956,4125420656
69302861,2800586555
70152834,844299203
70152834,2529072432
70152834,955398943
70152834,1532377761
70585535,1566556513
71688472,2841665850
71688472,2110243278
71688472,3084061084
71688472,3175036170
72298333,952519340
72298333,1844176380
73288922,3413747696
78065188,2913407142
78065188,2806565970
80379054,3850950041
81458678,969179478
81458678,1533177888
82610705,2940654356
82610705,2913407142
82610705,2114371180
82923911,1488068589
82923911,635799819
85640691,4224194427
88554519,2893363609
91139927,2039358442
92410554,714391510
95170590,1690420493
95170590,955398943
95170590,1532377761
95170590,1390707377
95170590,2529072432
95170590,460925649
95170590,1971885970
96542289,3129233779
96542289,4251687494
96542289,2636152679
96542289,690774443
96542289,1813185314
96542289,3339581566
96542289,802414638
96542289,1971604001
96542289,1893384353
96542289,1292154219
96542289,3841696821
96542289,1204240464
96542289,779179812
96542289,3476214270
96542289,4278185210
96542289,160567780
96542289,3418426127
96542289,2355101450
96542289,2321729704
96542289,737340986
96542289,3080242563
96931058,2045413792
97374877,3129504825
98054194,1488068589
102981257,2892792634
102981257,3971267428
102981257,2460207561
107783241,273094339
110310789,3378415880
111840914,1532377761
111840914,1600413013
111840914,2529072432
120053518,1600413013
120053518,3219059524
120053518,3118974631
120053518,3404987729
120053518,2529072432
120053518,861118590
121528378,130281276
121528378,1674888438
121528378,897667289
121856257,232587843
122826603,2357122965
122826603,210121672
123290209,939818461
123290209,1887085024
127904873,1600413013
128723876,3275948662
128723876,642644408
128723876,3996872922
128723876,3877083150
128723876,1476388256
132341149,952519340
132341149,1844176380
135706634,1395574268
135706634,4125420656
135706634,966971643
139210489,1485887263
139210489,666088517
140576550,681905393
143093592,705138890
147852768,2865762984
147852768,1128274822
147852768,766157199
147852768,747845900
147852768,3643346333
147852768,1336550405
156079457,4181743367
156584666,2114371180
156603823,4244463632
158531231,719337372
158531231,2763790767
160071273,3509100603
166685992,1448086840
166685992,326664129
166685992,2429379784
167200370,2379850649
168764910,2153037761
171842881,3632072502
171842881,797638314
174994783,2188393190
178517662,529900443
178517662,4267868521
178517662,602394192
180779799,42193426
183275855,2115491671
184140061,3643004825
184140061,3339141512
184140061,3793452317
185422302,1989853635
185422302,2219144892
185422302,3951904788
187910813,955398943
193113796,1179584066
193158441,2418142030
193158441,3849306291
193920233,2556887095
194257626,51230207
195973264,3388135408
197344023,955398943
197344023,3276213471
197344023,642644408
197704997,2427264930
199120737,2989906553
199120737,959243663
199379035,2529072432
199379035,955398943
203050907,2529072432
203050907,2763790767
203050907,1610171038
203050907,1797828094
203050907,1699663431
203050907,861118590
203050907,3315486330
203050907,2860418664
203456139,2746202243
203456139,2989846146
203456139,2153037761
204568422,2363782301
206173756,11608112
206173756,239276659
210296799,899234866
210296799,213754032
210296799,4139300008
210626346,3028859957
217443195,311120320
220184636,1421267283
221442949,2529072432
221442949,264366149
221442949,1390707377
221442949,1033318499
221442949,1600413013
221442949,986099040
221442949,1532377761
221442949,955398943
223870698,1488068589
236194065,1205670273
238446352,2764233627
240018991,2073609284
240521211,3123265999
240521211,232015242
240521211,990256291
242262473,2130616732
243893094,445012721
243893094,386229329
244644122,3509100603
244644122,152418051
245442083,907302600
246547106,4252420545
247769793,401945277
247769793,1336517851
247769793,1768663573
248375618,2824024899
248805577,2498491194
249577815,1990647154
249577815,1676394036
249577815,3802296711
249918369,326664129
252627634,753115138
